testid,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
5269901, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian)
5308451, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian)
5367765, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian)
5368572, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian)
5118142, VU2: Other / VU3: Pedestrian / VU4: Bicyclist,V1:(Collision with pedestrian)
5076410, VU2: Other,V1:(Collision with pedestrian)
5104257, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic)
5107353, VU2: Bicyclist,V1:(Collision with other movable object)
5053437, VU2: Pedestrian,V1:(Collision with pedestrian)
5053777, VU2: Pedestrian,V1:(Collision with pedestrian)
5056246, VU2: Pedestrian,V1:(Collision with pedestrian)
5056716, VU2: Pedestrian,V1:(Collision with pedestrian)
