,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
41,SomervillePD,22006150,SOMERVILLE,2022,2022-02-07,0,18:04:00,,0,0,0.0,42.3983,-71.0904,,2022-02-07 18:04:00,MassDOT,5081406,SOMERVILLE,2022,2022-02-07,0,18:04:00,Local,0,0,0.0,42.3980969,-71.08982755,0,2022-02-07 18:04:00,52.05875117240828,0.0,0.6355887417931421
42,MassDOT,5081410,SOMERVILLE,2022,2022-02-09,0,21:39:00,Local,0,0,0.0,42.3956945,-71.12047373,0,2022-02-09 21:39:00,SomervillePD,22006577,SOMERVILLE,2022,2022-02-09,0,21:39:00,,0,0,0.0,42.3957,-71.1205,,2022-02-09 21:39:00,2.238326632319782,0.0,0.9843317135737615
43,SomervillePD,22006667,SOMERVILLE,2022,2022-02-10,0,08:24:00,,0,0,0.0,42.388,-71.0833,,2022-02-10 08:24:00,MassDOT,5081405,SOMERVILLE,2022,2022-02-10,0,08:24:00,Local,0,0,0.0,42.38775005,-71.08325328,0,2022-02-10 08:24:00,28.007601181632115,0.0,0.8039467917285752
44,SomervillePD,22007398,SOMERVILLE,2022,2022-02-13,0,21:11:00,,0,0,0.0,42.3891,-71.0829,,2022-02-13 21:11:00,MassDOT,5081586,SOMERVILLE,2022,2022-02-13,0,21:11:00,Local,0,0,0.0,42.3890854,-71.08294201,0,2022-02-13 21:11:00,3.8063296994257723,0.0,0.9733556921040196
45,MassDOT,5081408,SOMERVILLE,2022,2022-02-13,0,21:19:00,Local,0,0,0.0,42.39511428,-71.1066649,0,2022-02-13 21:19:00,SomervillePD,22007400,SOMERVILLE,2022,2022-02-13,0,21:19:00,,0,0,0.0,42.3952,-71.1068,,2022-02-13 21:19:00,14.600862005966327,0.0,0.8977939659582357
46,MassDOT,5081476,SOMERVILLE,2022,2022-02-14,0,17:00:00,Local,0,0,0.0,42.38552067,-71.0858108,0,2022-02-14 17:00:00,SomervillePD,22007567,SOMERVILLE,2022,2022-02-14,0,17:00:00,,0,0,0.0,42.3855,-71.0856,,2022-02-14 17:00:00,17.434583032209297,0.0,0.877957918774535
47,SomervillePD,22007602,SOMERVILLE,2022,2022-02-14,0,23:06:00,,0,0,0.0,42.3882,-71.1032,,2022-02-14 23:06:00,MassDOT,5081478,SOMERVILLE,2022,2022-02-14,0,23:06:00,Local,0,0,0.0,42.38832927,-71.10316575,0,2022-02-14 23:06:00,14.621132856514931,0.0,0.8976520700043955
48,MassDOT,5081409,SOMERVILLE,2022,2022-02-15,0,11:01:00,Local,0,0,0.0,42.40009181,-71.11271118,0,2022-02-15 11:01:00,SomervillePD,22007682,SOMERVILLE,2022,2022-02-15,0,11:01:00,,0,0,0.0,42.4001,-71.1127,,2022-02-15 11:01:00,1.2908316541476874,0.0,0.9909641784209662
49,SomervillePD,22007888,SOMERVILLE,2022,2022-02-16,0,10:34:00,,0,0,0.0,42.3972,-71.1049,,2022-02-16 10:34:00,MassDOT,5081475,SOMERVILLE,2022,2022-02-16,0,10:34:00,Local,0,0,0.0,42.39752394,-71.10491306,0,2022-02-16 10:34:00,35.97327330175788,0.0,0.7481870868876948
50,MassDOT,5081395,SOMERVILLE,2022,2022-02-16,2,13:27:00,Local,0,0,1.0,42.39287078,-71.09006651,0,2022-02-16 13:27:00,SomervillePD,22007918,SOMERVILLE,2022,2022-02-16,2,13:27:00,,0,0,1.0,42.3929,-71.09,,2022-02-16 13:27:00,6.344120334938673,0.0,0.9555911576554292
51,MassDOT,5081412,SOMERVILLE,2022,2022-02-17,0,10:07:00,Local,0,0,0.0,42.38112691,-71.09708131,0,2022-02-17 10:07:00,SomervillePD,22008104,SOMERVILLE,2022,2022-02-17,0,10:07:00,,0,0,0.0,42.3813,-71.0971,,2022-02-17 10:07:00,19.274008308369524,0.0,0.8650819418414133
52,MassDOT,5081414,SOMERVILLE,2022,2022-02-18,0,07:58:00,Local,0,0,0.0,42.39392894,-71.09604913,0,2022-02-18 07:58:00,SomervillePD,22008309,SOMERVILLE,2022,2022-02-18,0,07:58:00,,0,0,0.0,42.394,-71.096,,2022-02-18 07:58:00,8.856408401091329,0.0,0.9380051411923607
53,SomervillePD,22008418,SOMERVILLE,2022,2022-02-18,0,18:10:00,,0,0,0.0,42.3791,-71.0951,,2022-02-18 18:10:00,MassDOT,5081396,SOMERVILLE,2022,2022-02-18,0,18:10:00,Local,0,0,0.0,42.37943801,-71.09505401,0,2022-02-18 18:10:00,37.708141969054196,0.0,0.7360430062166206
54,SomervillePD,22008452,SOMERVILLE,2022,2022-02-18,2,20:51:00,,0,0,0.0,42.3932,-71.1012,,2022-02-18 20:51:00,MassDOT,5081400,SOMERVILLE,2022,2022-02-18,2,20:51:00,Local,0,0,0.0,42.3932846,-71.10118793,0,2022-02-18 20:51:00,9.442585151542692,0.0,0.9339019039392011
55,SomervillePD,22008784,SOMERVILLE,2022,2022-02-20,0,14:25:00,,0,0,0.0,42.3761,-71.1011,,2022-02-20 14:25:00,MassDOT,5081403,SOMERVILLE,2022,2022-02-20,0,14:25:00,Local,0,0,0.0,42.37601122,-71.10118164,0,2022-02-20 14:25:00,11.913376681116068,0.0,0.9166063632321875
56,SomervillePD,22008852,SOMERVILLE,2022,2022-02-20,2,21:22:00,,0,1,0.0,42.3937,-71.1114,,2022-02-20 21:22:00,MassDOT,5081404,SOMERVILLE,2022,2022-02-20,2,21:22:00,Local,0,1,0.0,42.39366768,-71.1113201,0,2022-02-20 21:22:00,7.468069863613109,0.0,0.9477235109547082
57,MassDOT,5081474,SOMERVILLE,2022,2022-02-22,2,17:58:00,Local,0,1,0.0,42.39987392,-71.11822484,0,2022-02-22 17:58:00,SomervillePD,22009180,SOMERVILLE,2022,2022-02-22,2,17:58:00,,0,1,0.0,42.3999,-71.1182,,2022-02-22 17:58:00,3.5392152235717065,0.0,0.975225493434998
58,SomervillePD,22009504,SOMERVILLE,2022,2022-02-24,0,09:21:00,,0,0,0.0,42.3959,-71.1052,,2022-02-24 09:21:00,MassDOT,5081413,SOMERVILLE,2022,2022-02-24,0,09:21:00,Local,0,0,0.0,42.3957074,-71.10521082,0,2022-02-24 09:21:00,21.396991183467996,0.0,0.850221061715724
59,MassDOT,5081481,SOMERVILLE,2022,2022-02-24,0,15:59:00,Local,0,0,0.0,42.3815371,-71.09463487,0,2022-02-24 15:59:00,SomervillePD,22009588,SOMERVILLE,2022,2022-02-24,0,15:59:00,,0,0,0.0,42.3814,-71.0947,,2022-02-24 15:59:00,16.127867465206403,0.0,0.8871049277435552
